,dir,time,mass,a,e,i,O,o,M,diskmass,alpha,simID,radius
341,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run05,9999999.99977,5.117843e-06,0.06349,0.033061,6.57816,211.65037,179.85634,331.93229,-999999,-999999,4,1.08914430856
351,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run05,9999999.99977,5.621118e-06,0.09687,0.034015,4.0962,195.27312,287.45349,140.37209,-999999,-999999,4,1.13447941249
361,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run05,9999999.99977,3.763686e-06,0.14842,0.024438,2.96409,177.69526,68.90239,177.27353,-999999,-999999,4,0.952913406561
372,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run05,9999999.99977,1.824306e-06,0.22165,0.100359,6.40599,286.95308,244.33837,109.43133,-999999,-999999,4,0.695516571195
370,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run05,9999999.99977,2.663743e-06,0.33285,0.046008,0.38169,205.83336,98.27174,116.20679,-999999,-999999,4,0.819942523296
405,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run05,9999999.99977,1.878851e-06,0.51707,0.173302,3.72431,49.15443,90.73099,30.55521,-999999,-999999,4,0.704482768433
411,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run05,9999999.99977,4.1534e-07,0.70525,0.088884,17.91206,25.98199,165.23096,268.83986,-999999,-999999,4,0.365489865626
365,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run05,9999999.99977,3.960108e-07,0.9003,0.049466,11.34644,34.38795,141.24569,288.77951,-999999,-999999,4,0.357994835677
414,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run05,9999999.99977,1.754803e-07,0.92818,0.190147,29.15516,66.23467,97.30291,98.92521,-999999,-999999,4,0.251298783896
398,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run05,9999999.99977,1.930351e-06,0.98017,0.017761,2.30363,342.36921,218.50234,145.34142,-999999,-999999,4,0.712814355859
418,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run06,9999999.99977,3.645076e-06,0.03456,0.035015,6.44111,54.23129,75.74135,201.82152,-999999,-999999,5,0.939738466211
421,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run06,9999999.99977,2.432586e-06,0.04512,0.05186,6.0342,51.93498,352.8809,182.90565,-999999,-999999,5,0.788210995577
432,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run06,9999999.99977,7.4914e-06,0.0668,0.036402,4.47565,52.373,223.15573,43.31533,-999999,-999999,5,1.64075223788
445,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run06,9999999.99977,6.338998e-06,0.1245,0.087767,3.0817,49.63348,133.04916,264.19374,-999999,-999999,5,1.19533975509
450,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run06,9999999.99977,3.447385e-06,0.2118,0.082617,1.41868,247.20065,133.68339,279.10367,-999999,-999999,5,0.917229387002
474,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run06,9999999.99977,1.502979e-06,0.35009,0.122987,6.71784,293.68026,354.17698,231.64316,-999999,-999999,5,0.639326634344
478,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run06,9999999.99977,2.289434e-06,0.49271,0.016242,3.41919,229.41586,36.30269,3.90014,-999999,-999999,5,0.767697776167
498,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run06,9999999.99977,8.456499e-07,0.68688,0.070224,8.6534,188.25646,199.33901,203.67911,-999999,-999999,5,0.497886657983
501,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run06,9999999.99977,1.629751e-06,0.99124,0.078579,0.63373,241.99811,178.6663,267.03652,-999999,-999999,5,0.662236908572
502,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run06,9999999.99977,2.474685e-07,1.20266,0.237864,21.22997,226.84396,262.87041,56.54598,-999999,-999999,5,0.291809724009
494,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run06,9999999.99977,1.580841e-07,1.22211,0.336014,9.95941,121.49974,130.55792,259.58773,-999999,-999999,5,0.240147055727
489,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run06,9999999.99977,1.065567e-07,1.5818,0.033592,18.92668,220.29106,30.50849,84.91251,-999999,-999999,5,0.202299950085
510,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run07,9999999.99977,4.814738e-06,0.03628,0.04269,0.85739,344.19989,91.64407,312.07153,-999999,-999999,6,1.06061427988
514,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run07,9999999.99977,4.214442e-06,0.05477,0.026504,1.8078,112.56579,197.83333,28.32704,-999999,-999999,6,1.00095112244
517,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run07,9999999.99977,3.905597e-06,0.07427,0.068353,1.59453,181.99548,235.22471,332.96575,-999999,-999999,6,0.968371841074
525,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run07,9999999.99977,4.650946e-06,0.10705,0.028799,1.65531,27.12413,99.10379,321.61847,-999999,-999999,6,1.04477337175
528,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run07,9999999.99977,2.38821e-06,0.14441,0.056637,1.35429,247.49411,227.63054,79.47552,-999999,-999999,6,0.781926805965
532,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run07,9999999.99977,1.989837e-06,0.19965,0.041506,4.128,181.57241,248.1316,319.27005,-999999,-999999,6,0.722283014042
549,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run07,9999999.99977,2.362121e-06,0.276,0.046381,4.36703,337.22099,211.60745,250.17808,-999999,-999999,6,0.778201434669
562,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run07,9999999.99977,2.391622e-06,0.46848,0.060118,4.23251,274.72833,131.63333,40.29076,-999999,-999999,6,0.782412317465
583,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run07,9999999.99977,2.437754e-06,0.72266,0.073599,3.16912,136.22034,240.61578,219.27045,-999999,-999999,6,0.788938621922
586,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run07,9999999.99977,8.314346e-07,1.14053,0.143579,4.03487,67.43448,63.43298,338.31271,-999999,-999999,6,0.494230334839
580,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run07,9999999.99977,1.492661e-07,1.2485,0.151056,6.4512,7.8532,217.7896,278.31197,-999999,-999999,6,0.234228338666
592,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run08,9999999.99977,1.108424e-05,0.04541,0.031288,2.98723,110.94445,272.19877,223.36894,-999999,-999999,7,1.22262846509
608,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run08,9999999.99977,4.778391e-06,0.09378,0.045064,3.40248,175.83681,323.38069,147.29963,-999999,-999999,7,1.05712565108
612,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run08,9999999.99977,5.627756e-06,0.14973,0.052383,5.93048,352.6133,99.13406,283.67489,-999999,-999999,7,1.13506170131
623,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run08,9999999.99977,2.437805e-06,0.25907,0.08152,3.40813,22.71927,97.51274,298.35155,-999999,-999999,7,0.788945798099
638,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run08,9999999.99977,1.253213e-06,0.34449,0.122618,6.24508,162.61156,259.88777,124.36134,-999999,-999999,7,0.590753449933
640,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run08,9999999.99977,1.357849e-06,0.47479,0.147606,3.46829,279.45181,258.54266,38.44955,-999999,-999999,7,0.611713774813
652,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run08,9999999.99977,1.260939e-06,0.69301,0.097495,5.27506,214.53814,32.55368,136.52564,-999999,-999999,7,0.592334164128
664,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run08,9999999.99977,7.09255e-07,0.89773,0.023965,3.23208,344.1557,169.07988,238.51955,-999999,-999999,7,0.461230724226
658,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run08,9999999.99977,1.608264e-07,0.94939,0.299873,16.66528,256.56259,2.18487,158.9989,-999999,-999999,7,0.241949496554
662,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run08,9999999.99977,2.059002e-07,0.95279,0.416258,9.9552,197.09268,301.46308,86.46023,-999999,-999999,7,0.269387008732
663,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run08,9999999.99977,2.606764e-07,1.14696,0.15627,16.4591,25.86939,262.33097,109.02919,-999999,-999999,7,0.298481850724
656,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run08,9999999.99977,3.004466e-07,1.15928,0.104553,6.00356,33.08298,114.00014,28.63499,-999999,-999999,7,0.317489268468
661,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run08,9999999.99977,2.379352e-07,1.17378,0.341026,17.88683,198.20547,287.44198,148.66468,-999999,-999999,7,0.286867820492
657,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run08,9999999.99977,4.52168e-07,1.36983,0.136141,3.21661,198.75027,246.25208,88.59049,-999999,-999999,7,0.379242592582
670,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run09,9999999.99977,5.698354e-06,0.03817,0.054257,4.22276,131.52913,218.65698,314.68584,-999999,-999999,8,1.14123072448
675,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run09,9999999.99977,5.05938e-06,0.05615,0.083293,1.61301,57.84384,346.64182,212.92237,-999999,-999999,8,1.08371730742
682,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run09,9999999.99977,3.658754e-06,0.08784,0.01783,2.78192,41.05314,74.74954,202.65585,-999999,-999999,8,0.941270030657
688,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run09,9999999.99977,5.946441e-06,0.13013,0.058079,1.03393,134.84603,184.5337,223.3743,-999999,-999999,8,1.16257311769
693,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run09,9999999.99977,2.742602e-06,0.21958,0.046634,1.33257,191.44358,118.69064,75.7063,-999999,-999999,8,0.830409499655
714,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run09,9999999.99977,2.036782e-06,0.34063,0.023279,6.52118,286.07698,297.19772,163.60613,-999999,-999999,8,0.729643075424
732,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run09,9999999.99977,2.583605e-06,0.56062,0.077101,5.52602,134.42931,118.11365,41.32744,-999999,-999999,8,0.80912476673
741,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run09,9999999.99977,1.67865e-06,0.87409,0.083142,6.42517,347.27451,53.37035,221.76353,-999999,-999999,8,0.670803795955
726,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run09,9999999.99977,7.9031e-07,1.18184,0.152096,8.65705,264.77324,232.05284,2.40469,-999999,-999999,8,0.483449225824
755,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run10,9999999.99977,4.715634e-06,0.03518,0.056098,2.76856,236.71952,218.62716,337.32333,-999999,-999999,9,1.05106667378
761,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run10,9999999.99977,4.534557e-06,0.05513,0.017369,0.71189,183.51585,255.33707,297.25324,-999999,-999999,9,1.03332441311
762,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run10,9999999.99977,3.061449e-06,0.07356,0.10145,3.22739,50.36244,194.55663,108.63435,-999999,-999999,9,0.871082662496
767,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run10,9999999.99977,4.053806e-06,0.09763,0.033804,1.36512,264.15093,262.72612,3.26576,-999999,-999999,9,0.984181036259
774,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run10,9999999.99977,3.551229e-06,0.14098,0.030102,3.04624,131.77357,36.31814,141.83145,-999999,-999999,9,0.929141431518
