,dir,time,mass,a,e,i,O,o,M,diskmass,alpha,simID,radius
547,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run09,10000000.0,2.088573e-06,0.22041,0.062561,8.55678,326.51062,100.42902,175.70848,-999999,-999999,8,0.737652498703
551,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run09,10000000.0,2.472994e-06,0.34827,0.090308,3.865,29.12115,100.33405,211.85665,-999999,-999999,8,0.793877142048
560,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run09,10000000.0,3.747627e-06,0.49488,0.082254,2.20114,14.34983,117.92245,13.69612,-999999,-999999,8,0.951143479952
562,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run09,10000000.0,4.368238e-06,0.5971,0.079629,5.24683,295.38315,47.50719,148.60534,-999999,-999999,8,1.01667182659
563,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run09,10000000.0,6.288914e-06,0.92864,0.066849,2.04103,129.9212,24.29455,172.94818,-999999,-999999,8,1.19122433123
561,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run09,10000000.0,2.899072e-06,1.34163,0.040546,6.06273,129.64692,127.31088,173.32165,-999999,-999999,8,0.85068529007
590,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run10,10000000.0,6.447023e-07,0.07425,0.347537,6.24335,256.77957,199.53445,78.29983,-999999,-999999,9,0.442485916775
609,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run10,10000000.0,1.819905e-06,0.17594,0.165171,3.43279,159.71321,281.88929,147.84889,-999999,-999999,9,0.694786559715
614,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run10,10000000.0,2.017459e-06,0.28794,0.116074,5.05717,284.03732,102.61699,131.33111,-999999,-999999,9,0.726625339356
618,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run10,10000000.0,3.995379e-06,0.40881,0.050028,3.80336,278.05169,174.06344,344.52991,-999999,-999999,9,0.977988386305
622,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run10,10000000.0,6.293285e-06,0.63409,0.023716,1.37652,209.22138,186.36889,156.12863,-999999,-999999,9,1.19158423433
625,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run10,10000000.0,4.50756e-06,0.96673,0.064596,2.62285,65.2283,27.27136,178.45957,-999999,-999999,9,1.03064510983
624,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run10,10000000.0,3.165552e-06,1.2464,0.051773,0.83,85.89586,153.70074,296.71338,-999999,-999999,9,0.883839622032
665,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run11,10000000.0,1.195361e-06,0.08446,0.041911,11.31381,33.78744,358.11838,5.15657,-999999,-999999,10,0.578738003552
678,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run11,10000000.0,3.073578e-06,0.24829,0.027476,4.65136,143.35253,44.76023,329.3718,-999999,-999999,10,0.872581463492
686,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run11,10000000.0,4.691302e-06,0.43056,0.050873,3.08619,285.7791,73.0725,6.60059,-999999,-999999,10,1.04870524588
688,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run11,10000000.0,6.217821e-06,0.66394,0.075674,1.72383,92.73567,330.2063,283.35567,-999999,-999999,10,1.18535065002
689,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run11,10000000.0,2.416252e-06,0.88196,0.124041,0.93459,189.34478,130.2831,123.50791,-999999,-999999,10,0.785905494966
687,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run11,10000000.0,2.400432e-06,1.15409,0.098556,1.38021,252.41147,49.67179,330.05933,-999999,-999999,10,0.783664131235
720,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run12,10000000.0,8.148473e-07,0.08642,0.119253,11.90629,108.28298,236.96585,88.06746,-999999,-999999,11,0.489918952276
731,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run12,10000000.0,8.005191e-07,0.15945,0.164902,6.0963,50.52197,243.51393,334.70475,-999999,-999999,11,0.486154649416
738,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run12,10000000.0,1.671078e-06,0.24422,0.126644,4.98398,209.43518,127.26202,135.09892,-999999,-999999,11,0.669486532299
744,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run12,10000000.0,2.327985e-06,0.34599,0.057387,2.86105,8.64337,29.30336,254.67164,-999999,-999999,11,0.773291697855
746,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run12,10000000.0,2.657277e-06,0.44153,0.052213,7.82349,103.96775,0.37882,269.09789,-999999,-999999,11,0.81907656464
748,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run12,10000000.0,2.948814e-06,0.54698,0.03263,2.90634,223.33395,192.56216,213.85402,-999999,-999999,11,0.857000867465
750,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run12,10000000.0,3.585721e-06,0.70637,0.017441,3.00124,325.44824,12.8515,16.71915,-999999,-999999,11,0.933054396656
751,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run12,10000000.0,5.318638e-06,0.95838,0.006526,1.15465,274.37808,347.57635,288.58682,-999999,-999999,11,1.10752146951
777,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run13,10000000.0,5.219571e-07,0.07606,0.084474,10.77075,247.29189,220.63022,148.18302,-999999,-999999,12,0.403663307581
786,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run13,10000000.0,1.223166e-06,0.15204,0.266681,18.39405,69.54413,294.32719,196.82327,-999999,-999999,12,0.584552980578
